Position,Candidate Name,Votes,MinSample,Votes %,Party
1,P P Choudhary,711772,400,65.0%,Bharatiya Janta Party
2,Munni Devi Godara,312733,400,28.5%,Indian National Congress
3,Bhojraj,16469,200,1.5%,Bahujan Samaj Party
4,Jagdish,7186,200,0.7%,Bahujan Mukti Party
5,Dr. Ramlal Mohbarsha,5794,200,0.5%,Independent
6,Sher Singh Safa,5198,200,0.5%,Independent
7,Mahesh Bhandari,5031,200,0.5%,Aam Aadmi Party
8,Om Prakash Mali,3306,200,0.3%,Independent
9,Shobharam Mali,2825,200,0.3%,Jai Maha Bharath Party
10,Dinesh Mev,2358,200,0.2%,Independent
11,Udaram,2058,200,0.2%,Independent
12,Kanhaiyalal Pareek,1890,200,0.2%,Independent
13,Dev Kishan Dehiya,1264,200,0.1%,Megh Desham Party
