Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Devji Patel,580508,234,53.4%,Bharatiya Janta Party
2,Anjana Udai Lal,199363,234,18.3%,Indian National Congress
3,S. Buta Singh,175344,201,16.1%,Independent
4,Otaram,29998,84,2.8%,Bahujan Samaj Party
5,Shankar Lal Darji,16399,78,1.5%,Independent
6,Chhaganaram / Prhalad,15811,78,1.5%,Hindustan Janata Party
7,Mahendra K. Choudhary,13008,71,1.2%,Independent
8,Moola Ram,10316,71,0.9%,Independent
9,Narayan Lal,9875,71,0.9%,Independent
10,Manara Ram,6146,71,0.6%,Independent
11,Bhanwar Lal Waghela,4817,71,0.4%,Independent
12,Chhaganaram / Bhalaram,3960,71,0.4%,Bahujan Mukti Party
13,Naringa Ram Yadav,3200,71,0.3%,Independent
14,Ran Singh Rajpurohit,2731,71,0.3%,Jago Party
15,Tarun Kumar,2596,71,0.2%,Independent
16,Sukh Dev,2017,71,0.2%,Awami Aamjan Party
