Position,Candidate Name,Votes,MinSample,Votes %,Party
1,D K Suresh,652723,1400,44.9%,Indian National Congress
2,Muniraju Gowda . P,421243,1400,28.9%,Bharatiya Janta Party
3,R. Prabhakara Reddy,317870,600,21.8%,Janata Dal (Secular)
4,Ravi Krishna Reddy,17195,200,1.2%,Aam Aadmi Party
5,C Thopaiah,11594,200,0.8%,Bahujan Samaj Party
6,Basavegowda,6154,200,0.4%,Republican Party Of India (A)
7,Mallesha,5420,200,0.4%,Independent
8,Suresh,2782,200,0.2%,Independent
9,M.P.Munawer Shariff,2577,200,0.2%,Independent
10,S.Siddaramaiah (HEGGADE),2142,200,0.1%,Independent
11,J.T.Prakash,1503,200,0.1%,Independent
12,K A Mohan,1345,200,0.1%,Kamarajar Deseeya Congress
13,Shankarappa,1008,200,0.1%,Jai Vijaya Bharathi Party
14,J Nataraju,958,200,0.1%,Independent
15,Kenchaiah,859,200,0.1%,Independent
