Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Anant Geete,396178,868800,40.1%,Shiv Sena
2,Tatkare Sunil Dattatrey,394068,868800,39.9%,Nationalist Congress Party
3,Rameshbhai Kadam,129730,400,13.1%,Peasants And Workers Party Of India
4,Yashwant Jayram Gaikwad,10510,200,1.1%,Bahujan Samaj Party
5,Muzzafar Jainuddin Chaudhari Alias Modi,9952,200,1.0%,Independent
6,Sunil Tatkare,9849,200,1.0%,Independent
7,Dr. Aparanti Sanjay Yashwant,6759,200,0.7%,Aam Aadmi Party
8,Sandeep Pandurang Parte,4287,200,0.4%,Hindustan Janata Party
9,Dr. Ghone Adesh Yashawant,3308,200,0.3%,Bahujan Mukti Party
10,Aziz Abdul Kadir Mukadam,2763,200,0.3%,Samajwadi Party
