Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Renuka Sinha,526499,7600,39.5%,All India Trinamool Congress
2,Dipak Kumar Roy,439392,7600,33.0%,All India Forward Bloc
3,Hem Chandra Barman,217653,600,16.3%,Bharatiya Janta Party
4,Keshab Chandra Ray,74540,200,5.6%,Indian National Congress
5,Girindra Nath Barman,15683,200,1.2%,Bahujan Samaj Party
6,Bangshi Badan Barman,13205,200,1.0%,Independent
7,Kamal Krishna Bairagi,7125,200,0.5%,Rashtriya Janadhikar Suraksha Party
8,Nripen Karjee,6742,200,0.5%,Socialist Unity Centre Of India (COMMUNIST)
9,Harekrishna Sarkar,5796,200,0.4%,Republican Party Of India (A)
10,Pijush Barman,5137,200,0.4%,Welfare Party Of India
11,Hitendra Das,5059,200,0.4%,Independent
12,Dalendra Nath Ray,4169,200,0.3%,Amra Bangalee
