Position,Candidate Name,Votes,MinSample,Votes %,Party
1,P K Sreemathi Teacher,427622,434355,45.1%,Communist Party Of India (MARXIST)
2,K Sudhakaran,421056,434355,44.5%,Indian National Congress
3,P C Mohanan Master,51636,135,5.5%,Bharatiya Janta Party
4,K K Abdul Jabbar,19170,104,2.0%,Social Democratic Party Of India
5,Sasidharan K V,6106,86,0.6%,Aam Aadmi Party
6,K Sudhakaran (KOLLON HOUSE),4240,86,0.4%,Independent
7,K Sudhakaran (SREESHYLAM),2745,86,0.3%,Independent
8,P P Mohanan,2371,86,0.3%,Independent
9,N Abdulla Davud,2109,86,0.2%,Bahujan Samaj Party
10,P P Aboobackar,1536,86,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
11,Sreemathi Puthalath,1500,86,0.2%,Independent
