Position,Candidate Name,Votes,MinSample,Votes %,Party
1,R. Dhruvanarayana,567782,2200,50.1%,Indian National Congress
2,A. R. Krishna Murthy,426600,2200,37.7%,Bharatiya Janta Party
3,M Shivanna (KOTE),58760,200,5.2%,Janata Dal (Secular)
4,Shivamallu,34846,200,3.1%,Bahujan Samaj Party
5,Nirmala Kumari,6604,200,0.6%,Independent
6,S. Govinda Naik,5398,200,0.5%,Independent
7,Ananda G,3906,200,0.3%,Independent
8,Sampath Kumar,3357,200,0.3%,Aam Aadmi Party
9,Bannur Surendra,2762,200,0.2%,Sarva Janata Party
10,Pradeep Kumar M,2492,200,0.2%,Karunaadu Party
11,B Guruswamy,2043,200,0.2%,Samajwadi Party
12,Chaudahally Javaraiah,2008,200,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
13,Kathavaray,1949,200,0.2%,Dr. Ambedkar Samajvadi Democratic Party
14,Kandegala Srinivasamurthy,1825,200,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
