Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kuwar Harivansh Singh,375789,1000,42.0%,Apna Dal
2,Asif Nizamuddin Siddique,207567,1000,23.2%,Bahujan Samaj Party
3,Rajkumari Ratna Singh,138620,400,15.5%,Indian National Congress
4,Pramod Kumar Singh Patel,120107,400,13.4%,Samajwadi Party
5,Ashok Shukla  Senani,9983,200,1.1%,Aam Aadmi Party
6,Santosh Kumar Singh,6309,200,0.7%,All India Trinamool Congress
7,Harivansh,5618,200,0.6%,Independent
8,Ram Sewak,4207,200,0.5%,Bahujan Mukti Party
9,Ajmal Khan,3342,200,0.4%,Independent
10,Kiran Mishra,3002,200,0.3%,Independent
11,Nirmala Devi,2766,200,0.3%,Bhartiya Vanchitsamaj Party
12,Sheshnath,2458,200,0.3%,Socialist Unity Centre Of India (COMMUNIST)
13,Bal Krishna,2160,200,0.2%,Janata Dal (United)
14,Foolchandra,1859,200,0.2%,Shiv Sena
15,Rajendra Sharma,1571,200,0.2%,Rashtriya Janshanti Party
