Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Babul Supriya Baral (BABUL SUPRIYO),419983,8200,36.8%,Bharatiya Janta Party
2,Dola Sen,349503,8200,30.6%,All India Trinamool Congress
3,Bansa Gopal Choudhury,255829,1400,22.4%,Communist Party Of India (MARXIST)
4,Indrani Mishra,48502,200,4.2%,Indian National Congress
5,Manash Sarkar,14263,200,1.2%,Independent
6,Jyotirmoy Maiti,10227,200,0.9%,Independent
7,Kanai Banerjee,5728,200,0.5%,Jharkhand Mukti Morcha
8,Sujit Kar,5016,200,0.4%,Independent
9,Md. Reyazuddin,4947,200,0.4%,Indian Union Muslim League
10,Jarasandha Sinha,4663,200,0.4%,Bahujan Samaj Party
11,Atul Chandra Bouri,4256,200,0.4%,Bahujan Mukti Party
12,Ananta Lal Gupta,3115,200,0.3%,Socialist Unity Centre Of India (COMMUNIST)
13,Md. Mustaqim,2450,200,0.2%,Gareeb Aadmi Party
14,Buro Murmu,2434,200,0.2%,Jharkhand Disom Party
