Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Abhijit Mukherjee,378201,411200,33.8%,Indian National Congress
2,Muzaffar Hossain,370040,411200,33.1%,Communist Party Of India (MARXIST)
3,Sk Nurul Islam,207455,1200,18.5%,All India Trinamool Congress
4,Samrat Ghosh,96751,400,8.6%,Bharatiya Janta Party
5,Md. Sahabuddin,17257,200,1.5%,Social Democratic Party Of India
6,Abhijit Sarkar,10055,200,0.9%,Independent
7,Monirul Islam,9476,200,0.8%,Welfare Party Of India
8,Abdus Sayeed,7926,200,0.7%,Socialist Unity Centre Of India (COMMUNIST)
9,Sanjit Singh,5507,200,0.5%,Bahujan Samaj Party
10,Dhananjay Banerjee,3019,200,0.3%,Amra Bangalee
11,Md. Ginnatulla Sk,2318,200,0.2%,Jamat-E-Seratul Mustakim
