Position,Candidate Name,Votes,MinSample,Votes %,Party
1,C R Choudhary,414791,5735,41.3%,Bharatiya Janta Party
2,Dr Jyoti Mirdha,339573,5735,33.8%,Indian National Congress
3,Hanuman Beniwal,159980,395,15.9%,Independent
4,Chhoturam,15234,108,1.5%,Independent
5,Hariram Mehrada,11352,108,1.1%,Bahujan Sangharshh Dal
6,Abdul Aziz,11239,108,1.1%,Bahujan Samaj Party
7,Hariram,8658,96,0.9%,Independent
8,Ayub Khan,7300,96,0.7%,Samajwadi Party
9,Bhanwar Singh Rathore,5776,96,0.6%,All India Trinamool Congress
10,Sunil,5251,96,0.5%,Independent
11,Nemichand,4372,96,0.4%,Aarakshan Virodhi Party
12,Mularam,4332,96,0.4%,Independent
13,Hanumanram,3976,96,0.4%,Aam Aadmi Party
