Position,Candidate Name,Votes,MinSample,Votes %,Party
1,M I Shanavas,377035,63800,41.2%,Indian National Congress
2,Sathyan Mokeri,356165,63800,38.9%,Communist Party Of India
3,P R Rasmilnath,80752,216,8.8%,Bharatiya Janta Party
4,P V Anvar,37123,140,4.1%,Independent
5,Jaleel Neelambra,14327,108,1.6%,Social Democratic Party Of India
6,Ramla Mampad,12645,108,1.4%,Welfare Party Of India
7,Adv. P P A Sageer,10684,108,1.2%,Aam Aadmi Party
8,Sathyan Thazhemangad,5476,99,0.6%,Independent
9,Sathyan Puthanveettil,2855,99,0.3%,Independent
10,Cleatus,1517,99,0.2%,Independent
11,Vappan,1317,99,0.1%,Bahujan Samaj Party
12,Abraham Benhur,1308,99,0.1%,Independent
13,Sam P Mathew,1222,99,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
14,Sinoj A C,1104,99,0.1%,Independent
15,Satheesh Chandran,741,99,0.1%,All India Trinamool Congress
