Position,Candidate Name,Votes,MinSample,Votes %,Party
1,P.C. Mohan,557130,2125,51.8%,Bharatiya Janta Party
2,Rizwan Arshad,419630,2125,39.1%,Indian National Congress
3,V. Balakrishnan,39869,96,3.7%,Aam Aadmi Party
4,Nandini Alva,20387,85,1.9%,Janata Dal (Secular)
5,R. Mohan Raju,5806,77,0.5%,Bahujan Samaj Party
6,Modi Saifulla,3204,75,0.3%,Independent
7,Seetha Raman.E,2543,75,0.2%,Independent
8,Ismail Khan Saif Ali,2276,75,0.2%,All India Trinamool Congress
9,Dr. Meer Layaq Hussain,1878,75,0.2%,Independent
10,Ramanuj Singh,1836,75,0.2%,Independent
11,K.Murthy,1507,75,0.1%,Independent
12,G. Narayanaswamy (KAPALI),1228,75,0.1%,Independent
13,Zaheeda Shereen,1198,75,0.1%,Socialist Unity Centre Of India (COMMUNIST)
14,Bhovi Rama C.B.K,942,75,0.1%,Independent
15,Prashanth.S.M,903,75,0.1%,Independent
16,H.L. Manjunatha,707,75,0.1%,Kannada Chalevali Vatal Paksha
17,B.k. Narayana-Swamy,700,75,0.1%,Independent
18,B.V.Venkateshappa,668,75,0.1%,Independent
19,Budayya .B. Pujeri,553,75,0.1%,Karunaadu Party
20,Shafi Ahmed,549,75,0.1%,Independent
21,Kadugudi Sonnappa,543,75,0.1%,Republican Party Of India (A)
22,Suraiya Zaithoon,519,75,0.0%,Independent
23,Dhananjaya. H.H,422,75,0.0%,Independent
24,Syed Asif Bukhaari,411,75,0.0%,Independent
25,Ambrose D'mello,366,75,0.0%,Independent
26,E.Salam,365,75,0.0%,Independent
