Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Thota Narasimham,514402,875228,46.8%,Telugu Desam
2,Chalamalasetty Sunil,510971,875228,46.5%,Yuvajana Sramika Rythu Congress Party
3,Mallipudi Mangapati Pallam Raju,19754,96,1.8%,Indian National Congress
4,Motha Sarada,6836,86,0.6%,Republican Party Of India (KHOBRAGADE)
5,Jalluri Venkateswarlu (J.V),6636,86,0.6%,Independent
6,Tummalapalli Satya Ramakrishna,6442,86,0.6%,Jai Samaikyandhra Party
7,Tekumudi Venkata Rao,3826,86,0.3%,Pyramid Party Of India
8,Donka Leelavathi,3756,86,0.3%,Independent
9,Kola Venkata Prasad Varma,3473,86,0.3%,Rashtriya Janata Dal
10,Muthabathula Ratna Kumar,2511,86,0.2%,Bahujan Samaj Party
11,Srinivas Dangeti,2356,86,0.2%,Aam Aadmi Party
12,Karra Venkata Appala Narasimha Rao,1907,86,0.2%,Independent
13,Rokkam Dayakar,1837,86,0.2%,Republican Paksha (Khoripa)
14,Donam Neelakantam,1697,86,0.2%,Independent
15,Arjunarao Yegupati,1495,86,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
16,Guttula Annapurna Seshagiri Rao (BATHPARTY-SESHU),1417,86,0.1%,Independent
17,Vinjamalla Chitti Babu,1400,86,0.1%,Independent
18,Chaganti Suryanarayana Murty,1236,86,0.1%,Independent
19,Pepakayala Subha Rajendra,1161,86,0.1%,Independent
20,Kunche Ramadas,1122,86,0.1%,Independent
21,Merla Bhavani Sankara Prasad,910,86,0.1%,Independent
22,Prabhakara Rao Madiki,496,86,0.0%,Independent
