Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ahir Hansraj Gangaram,508049,664,45.8%,Bharatiya Janta Party
2,Deotale Sanjay Wamanrao,271780,664,24.5%,Indian National Congress
3,Chatap Wamanrao Sadashiv,204413,371,18.4%,Aam Aadmi Party
4,Kumbhare Hansraj Gulab,49229,124,4.4%,Bahujan Samaj Party
5,Pramod Mangaruji Sorte,10930,87,1.0%,Independent
6,Vinod Dinanath Meshram,8936,87,0.8%,Independent
7,Ashok Vithoba Khandale,8302,87,0.7%,Republican Party Of India
8,Namdeo Shedmake,5829,87,0.5%,Independent
9,Nandkishor Gangaram Rangari,4850,87,0.4%,Ambedkarite Party Of India
10,Firaj Pathan,4341,87,0.4%,Bahujan Mukti Party
11,Qureshi M. Ekhalak M. Yusuf,4176,87,0.4%,Socialist Party (India)
12,Kartik Gajanan Kodape,3879,87,0.3%,Independent
13,Nitin Vasant Pohane,3772,87,0.3%,Lok Bharati
14,Pankajkumar Sharma,3216,87,0.3%,All India Trinamool Congress
15,Ghaywan Roshan Jambuwantrao,2736,87,0.2%,Republican Paksha (Khoripa)
16,Atul Ashok Munginwar,2693,87,0.2%,Independent
17,Siddharth Raut,2188,87,0.2%,Prabuddha Republican Party
18,Sanjay Nilkanth Gawande,2167,87,0.2%,Independent
