Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Boora Narsaiah Goud,448245,51400,37.0%,Telangana Rashtra Samithi
2,Komatireddy Rajgopal Reddy,417751,51400,34.5%,Indian National Congress
3,Indrasena Reddy Nallu,183217,600,15.1%,Bharatiya Janta Party
4,Cherupally Seetharamulu,54040,200,4.5%,Communist Party Of India (MARXIST)
5,Varikuppala Krishna Vaddera,35011,200,2.9%,Independent
6,Navulla Malla Reddy,26805,200,2.2%,Independent
7,Arvapally Ambati,9029,200,0.7%,Bahujan Samaj Party
8,Ravulapally Kondal Rao,7722,200,0.6%,Independent
9,Boilla Narender,6850,200,0.6%,Republican Party Of India
10,Kapilavai Dileep Kumar,5552,200,0.5%,Rashtriya Lok Dal
11,Guahati Mothilal,2600,200,0.2%,All India Majlis-E-Ittehadul Muslimoon
12,Guduru Janardhan Reddy,2341,200,0.2%,Jai Samaikyandhra Party
13,Nagula Srinivas Yadav,1859,200,0.2%,Mahajana Socialist Party
