Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sharad Bansode,517879,1400,54.4%,Bharatiya Janta Party
2,Shinde Sushilkumar Sambhajirao,368205,1400,38.7%,Indian National Congress
3,Adv. Sanjeev Sidram Sadafule,19041,200,2.0%,Bahujan Samaj Party
4,Lalit Babar,9261,200,1.0%,Aam Aadmi Party
5,Sonawane Shivaji Chandrakant,5487,200,0.6%,Independent
6,Sunita Vijaykumar Ughade,2706,200,0.3%,Independent
7,Sonkamble Gautam Vijaykumar,2458,200,0.3%,Bharipa Bahujan Mahasangh
8,Sidram Krishna Dhobale,1683,200,0.2%,Independent
9,Kewale Chaya Nagnath,1654,200,0.2%,Independent
10,Bhise Krishna Nagnath,1504,200,0.2%,Independent
11,Rajendra Dnyandeo Randive,1460,200,0.2%,Independent
12,Waghmare Pundalik Onkari,1399,200,0.1%,Bahujan Mukti Party
13,Vikram Uttam Kasabe,1333,200,0.1%,Independent
14,Shinde Rajkumar Laxmanrao,1286,200,0.1%,Independent
15,Pawar Yuvraj Sidram,1243,200,0.1%,Independent
16,Dattatraya Vitthal Thorat,824,200,0.1%,Independent
