Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Y.S. Avinash Reddy,671983,1400,56.0%,Yuvajana Sramika Rythu Congress Party
2,Srinivasa Reddy Reddeppagari,481660,1400,40.1%,Telugu Desam
3,Ajaya Kumar Veena,14319,200,1.2%,Indian National Congress
4,Malikireddy. Hanumantha Reddy,5515,200,0.5%,Bahujan Samaj Party
5,Yellipalem Ramesh.Reddy,3809,200,0.3%,Janata Dal (United)
6,Sajid Hussain,3401,200,0.3%,Aam Aadmi Party
7,Dr. Shaik Ghouse Peer,3219,200,0.3%,Jai Samaikyandhra Party
8,B. Pullaiah,2565,200,0.2%,Ambedkar National Congress
9,Varadi Sobharani,2240,200,0.2%,Dalita Bahujana Party
10,Gajjala.Rama Subba Reddy,1821,200,0.2%,Pyramid Party Of India
11,Poreddy Prabhakara Reddy,1217,200,0.1%,Independent
12,Rachineni. Venugopal,1034,200,0.1%,Rashtriya Praja Congress (Secular)
13,Putha. Lakshmi Reddy,933,200,0.1%,All India Forward Bloc
14,G.V.A.K. Reddy,888,200,0.1%,Janata Dal (Secular)
