Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Hukm Deo Narayan Yadav,358040,56484,41.6%,Bharatiya Janta Party
2,Abdul Bari Siddiqui,337505,56484,39.2%,Rashtriya Janata Dal
3,Prof. Ghulam Ghous,56392,170,6.6%,Janata Dal (United)
4,Kumari Rita,30942,127,3.6%,Shiv Sena
5,Hari Narayan Yadav,10115,104,1.2%,Bahujan Samaj Party
6,Neeraj Pathak,9718,104,1.1%,Aam Aadmi Party
7,Anirud Sahu,9474,104,1.1%,Samajwadi Janata Party (RASHTRIYA)
8,Faiz Ahmad,8464,95,1.0%,Jai Prakash Janata Dal
9,Vijay Kumar,7453,95,0.9%,Independent
10,Dhrub Narayan Karn,6750,95,0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Ratneshwar Jha,6663,95,0.8%,Akhil Bhartiya Mithila Party
