Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Gourav Gogoi,443315,4800,38.0%,Indian National Congress
2,Mrinal Kumar Saikia,349441,4800,30.0%,Bharatiya Janta Party
3,Bijoy Kumar Tiru,231295,1000,19.8%,All India United Democratic Front
4,Dr. Arun Kumar Sarma,78132,400,6.7%,Asom Gana Parisad
5,Binod Gogoi,9583,200,0.8%,Independent
6,Montu Saikia,9133,200,0.8%,Independent
7,Jiten Gogoi,8271,200,0.7%,Independent
8,Samsul Alam,6538,200,0.6%,All India Trinamool Congress
9,Arup Kumar Mahanta,5433,200,0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
10,Rahmat Ullah,4985,200,0.4%,Independent
11,Mithual Kumar,2966,200,0.3%,All India Forward Bloc
12,Jinti Gogoi,2584,200,0.2%,Aam Aadmi Party
13,Sahaba Ahmed,2411,200,0.2%,Independent
