Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Virendra Singh,403544,1128,41.1%,Bharatiya Janta Party
2,Rakesh Dhar Tripathi,245505,1128,25.0%,Bahujan Samaj Party
3,Seema Mishra,238615,1022,24.3%,Samajwadi Party
4,Tej Bahadur Yadav Advocate,26995,126,2.8%,Janata Dal (United)
5,Sartaj Imam,22574,119,2.3%,Indian National Congress
6,Dr. Akhilesh Kumar Dwivedi,7730,99,0.8%,Nationalist Congress Party
7,Ajay Kumar Maurya,5807,97,0.6%,Pragatisheel Manav Samaj Party
8,Santraj Singh,4823,97,0.5%,Independent
9,Ram Sakha Tripathi,4313,97,0.4%,Independent
10,Jeevan Kumar Mallah,4164,97,0.4%,Independent
11,Ram Sagar Bind,2443,97,0.2%,Quami Ekta Dal
12,Chandrashekhar,2191,97,0.2%,Independent
13,Jagjeevan Ram,1963,97,0.2%,Independent
14,Rajesh Kumar Alias Khanna Maurya,1919,97,0.2%,Adarsh Manavtawadi Party
