Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sharad Tripathi,348892,3200,34.5%,Bharatiya Janta Party
2,Bhism Shankar Alias Kushal Tiwari,250914,3200,24.8%,Bahujan Samaj Party
3,Bhal Chandra Yadav,240169,2600,23.7%,Samajwadi Party
4,Rajaram,69193,400,6.8%,Peace Party
5,Rohit Kumar Pandey,22029,200,2.2%,Indian National Congress
6,Aparna,11046,200,1.1%,Independent
7,Shabbeer Husen,8993,200,0.9%,Jai Hind Samaj Party
8,Aftab Alam Khan,7458,200,0.7%,Aam Aadmi Party
9,Surendra Kumar Chaudhary,5866,200,0.6%,Independent
10,Rajmani,5036,200,0.5%,Bahujan Mukti Party
11,Mohammad Ali,4082,200,0.4%,Parcham Party Of India
12,Sant Siromani Baboolal Yadav Maharaj Ji,3900,200,0.4%,Suheldev Bhartiya Samaj Party
13,Lotan Urf Lautan Prasad,3618,200,0.4%,Shoshit Samaj Dal
14,Kailash Nath Beldar,3181,200,0.3%,Independent
15,Subodh Chandra,3061,200,0.3%,Independent
16,Amit,2796,200,0.3%,Independent
17,Jantri Lal Chauhan,2439,200,0.2%,Janvadi Party(Socialist)
18,Rajendra Kumar,2278,200,0.2%,Rashtriya Janwadi Party (Krantikari)
19,Mohammad Irfan,2164,200,0.2%,Independent
20,Prem Prakash,2155,200,0.2%,Indian Peace Party
21,Jyoti Singh,1884,200,0.2%,Bahujan Sangharsh Party (Kanshiram)
22,Ravikant,1721,200,0.2%,Most Backward Classes Of India
23,Shayam Lal,1477,200,0.1%,Independent
24,Jaiyantri Prasad,1335,200,0.1%,Independent
25,Kripanarayan Rai,1215,200,0.1%,Independent
