Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ramachandran K.N. Thiru,545820,5200,42.4%,All India Anna Dravida Munnetra Kazhagam
2,Jagathrakshakan S. Thiru,443174,5200,34.4%,Dravida Munetra Kazhagam
3,Masilamani R. (DR).,187094,400,14.5%,Marumalarchi Dravida Munnetra Kazhagam
4,Arul Anbarasu,39015,200,3.0%,Indian National Congress
5,Vasigaran S.A.N. Thiru,18963,200,1.5%,Aam Aadmi Party
6,Mohamed Abbas S. Thiru,4977,200,0.4%,Bahujan Samaj Party
7,Bharathi K. Thiru,4743,200,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Ramesh Thiru,2782,200,0.2%,Independent
9,Rajagopal Mallar P. Thiru,2622,200,0.2%,Independent
10,Pugazhendi A. Thiru,1726,200,0.1%,Independent
11,Sampath. K. Thiru,1301,200,0.1%,Independent
12,Madhavaraj K.V. Thiru.,1165,200,0.1%,Independent
13,Pulavar. E.Su. Mani. Thiru,870,200,0.1%,National Organisation Congress
14,Bharathidasan R. Thiru.,811,200,0.1%,Independent
15,Ramachandiran K. Thiru,791,200,0.1%,Independent
16,Palani A. Thiru,781,200,0.1%,Independent
17,Ayodhi L.( DR).,699,200,0.1%,Independent
18,Sridhar C. Thiru,497,200,0.0%,Ulzaipali Makkal Katchy
19,Sridharm.Thiru,477,200,0.0%,Independent
20,Shanmugam G. Thiru,372,200,0.0%,Independent
21,Shanmugam K. Thiru,291,200,0.0%,Independent
