Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Prof. K.V. Thomas,353841,3200,41.6%,Indian National Congress
2,Christy Fernandez,266794,3200,31.4%,Independent
3,A.N. Radhakrishnan,99003,400,11.6%,Bharatiya Janta Party
4,Anitha Pratap,51517,200,6.1%,Aam Aadmi Party
5,K.V. Bhaskaran,22733,200,2.7%,Independent
6,Zulfikal Ali,14825,200,1.7%,Social Democratic Party Of India
7,Rajaneesh Babu,8246,200,1.0%,Independent
8,P.D. Chandrabhanu,6156,200,0.7%,Socialist Republican Party
9,Kishore,5011,200,0.6%,Independent
10,K C Karthikeyan,2685,200,0.3%,Bahujan Samaj Party
11,Densil Mendez,2630,200,0.3%,Janata Dal (United)
12,N J Pious,2347,200,0.3%,Independent
13,Adv. Radhakrishnan P T,2104,200,0.2%,Independent
14,Anil Kumar,1180,200,0.1%,Independent
15,Juno John Baby,1077,200,0.1%,Independent
16,Krishnankutty M.K.,950,200,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
