Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Harsimrat Kaur Badal,514727,127600,43.7%,Shiromani Akali Dal
2,Manpreet Singh Badal S/o Gurdas Singh,495332,127600,42.1%,Indian National Congress
3,Jasraj Singh Longia,87901,200,7.5%,Aam Aadmi Party
4,Kuldeep Singh,13732,200,1.2%,Bahujan Samaj Party
5,Ashish,6626,200,0.6%,Independent
6,Bhagwant Singh Samaon,5984,200,0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
7,Satish Arora,5936,200,0.5%,Independent
8,Manpreet Singh Badal S/o Gurdev Singh,4618,200,0.4%,Independent
9,Shaminder Singh,4610,200,0.4%,J & K National Panthers Party
10,Geeta Rani,4380,200,0.4%,Akhil Bharatiya Shivsena Rashtrawadi
11,Sanjeev Kumar Thapar,2833,200,0.2%,Independent
12,Makhan Lal,2587,200,0.2%,Bahujan Samaj Party (AMBEDKAR)
13,Vijay Kumar,2258,200,0.2%,Independent
14,Swaran Singh,2077,200,0.2%,Independent
15,Rajinder Singh,1960,200,0.2%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
16,Navneet,1893,200,0.2%,Shiv Sena
17,Jagdeep Singh Gehri,1665,200,0.1%,Independent
18,Bhupesh Kumar,1487,200,0.1%,Independent
19,Gurdeep Singh,1404,200,0.1%,Indian Krantikari Lehar
20,Gurmeet Singh Ranghreta,1386,200,0.1%,Punjab Labour Party
21,Sushil Kumar Jindal,1330,200,0.1%,Independent
22,Jagdish Rai Sharma,1248,200,0.1%,Nav Bharat Democratic Party
23,Sukhwinder Singh,1086,200,0.1%,Bahujan Mukti Party
24,Dyal Chand,955,200,0.1%,Independent
25,Suresh Kumar Goyal,944,200,0.1%,Janral Samaj Party
26,Kartar Singh,916,200,0.1%,Independent
27,Gurcharan Singh,820,200,0.1%,Independent
28,Jaspal Singh,703,200,0.1%,Independent
29,Jagdeep Singh,668,200,0.1%,Independent
