Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dharambir S/o Bhale Ram,404542,2000,39.3%,Bharatiya Janta Party
2,Bahadur Singh,275148,2000,26.7%,Indian National Lok Dal
3,Shruti Choudhry,268115,1800,26.0%,Indian National Congress
4,Ved Pal Tanwar,27834,200,2.7%,Bahujan Samaj Party
5,Lalit Aggarwal,22200,200,2.2%,Aam Aadmi Party
6,Lal Chand,6265,200,0.6%,Republican Backward Congress
7,Master Sher Singh,3441,200,0.3%,Communist Party Of India (MARXIST)
8,Puran Mal Sharma,3195,200,0.3%,Independent
9,Narender Pichopa-Khurd,3151,200,0.3%,Independent
10,Dharambir Singh,2357,200,0.2%,Independent
11,Ombir,1617,200,0.2%,Lok Parivartan Party(DC)
12,Naresh Kumar,1493,200,0.1%,Samajwadi Party
13,Pardeep Singh Tanwar,1334,200,0.1%,Independent
14,Chitter Singh Bali,1060,200,0.1%,Independent
15,Vedparkash Bhartiya,1020,200,0.1%,Independent
16,Dharm Bir S/o Hari Singh,995,200,0.1%,Independent
17,Satpal S/o Sube,826,200,0.1%,Independent
18,Dharambir S/o Banwari,708,200,0.1%,Independent
19,Rajiv,603,200,0.1%,Bahujan Mukti Party
20,Sudhir Chandwas,523,200,0.1%,Independent
21,Mahavir Singh,393,200,0.0%,Independent
22,Samser,391,200,0.0%,National Loktantrik Party
23,Sher Singh,361,200,0.0%,Independent
24,Satpal S/o Lokram,297,200,0.0%,Independent
25,Rakesh Kumar,293,200,0.0%,Independent
26,Sukhbir Singh,275,200,0.0%,Independent
