Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kamakhya Prasad Tasa,456420,2800,49.0%,Bharatiya Janta Party
2,Bijoy Krishna Handique,354000,2800,38.0%,Indian National Congress
3,Prodip Hazarika,46626,200,5.0%,Asom Gana Parisad
4,Drupad Borgohain,28930,200,3.1%,Communist Party Of India
5,Nasir Ahmed,7331,200,0.8%,All India United Democratic Front
6,Ribulaya Gogoi,5759,200,0.6%,All India Trinamool Congress
7,Gunin Basumatari,5754,200,0.6%,Samajwadi Party
8,Raj Kumar Dowarah,4737,200,0.5%,Independent
9,Manorom Gogoi,3659,200,0.4%,Aam Aadmi Party
10,Horen Borgohain,3472,200,0.4%,All India Forward Bloc
