Position,Candidate Name,Votes,MinSample,Votes %,Party
1,B.V.Nayak,443659,905800,45.8%,Indian National Congress
2,Arakera Shivanagouda Nayak,442160,905800,45.6%,Bharatiya Janta Party
3,D.B.Nayak,21706,200,2.2%,Janata Dal (Secular)
4,Raja Thimappa Nayak,12254,200,1.3%,Bahujan Samaj Party
5,M Nagaraj,6938,200,0.7%,Communist Party Of India (Marxist-Leninist) Red Star
6,K Somashekar Yadgiri,6788,200,0.7%,Socialist Unity Centre Of India (COMMUNIST)
7,Chinnayya Nayak,6540,200,0.7%,Independent
8,Ranganayak,4935,200,0.5%,Pyramid Party Of India
9,Bhimaraya Jaradabandi,4234,200,0.4%,Aam Aadmi Party
10,Maruti,3618,200,0.4%,National Development Party
11,Bhagavantappa,2881,200,0.3%,Lok Satta Party
