Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sushmita Dev,336451,17649,42.1%,Indian National Congress
2,Kabindra Purkayastha,301210,17649,37.7%,Bharatiya Janta Party
3,Kutub Ahmed Mazumder,85530,244,10.7%,All India United Democratic Front
4,Rejamond Ali Barbhuiya,12460,107,1.6%,Communist Party Of India (MARXIST)
5,Arunangshu Bhattacharjee,8595,107,1.1%,Socialist Unity Centre Of India (COMMUNIST)
6,Shuvadip Datta,8577,107,1.1%,Independent
7,Wazid Reja Osmani,8282,107,1.0%,All India Trinamool Congress
8,Bijoy Krishna Nath,7679,97,1.0%,Asom Gana Parisad
9,Sukamal Das,6221,97,0.8%,Independent
10,Rashid Ahmed Laskar,3347,97,0.4%,Samajwadi Party
11,Madhu Sudhan Das,3151,97,0.4%,Independent
12,Abdul Mannan Barbhuiya,3118,97,0.4%,Aam Aadmi Party
13,Upendra Chandra Das,2740,97,0.3%,Independent
14,Nirupam Mandal,2462,97,0.3%,Independent
15,Kamal Das,2170,97,0.3%,Independent
16,Nilu Mandol,1922,97,0.2%,Shiv Sena
17,Jayanta Mallick,1605,97,0.2%,Independent
