Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Gaikwad Ravindra Vishwanath,607699,765,54.3%,Shiv Sena
2,Patil Padmasinha Bajirao,373374,765,33.4%,Nationalist Congress Party
3,Dhale Padmasheel Ramchandra,28322,87,2.5%,Bahujan Samaj Party
4,Rohan Subhash Deshmukh,26868,79,2.4%,Independent
5,Tukaram Dasrao Gangawane,10210,72,0.9%,Independent
6,Kakasaheb Baburao Rathod,7245,72,0.6%,Independent
7,Gaikwad Ravindra Vishwanath,7169,72,0.6%,Independent
8,Tupsundare Balaji Bapurao,7038,72,0.6%,Independent
9,Vikram Ashok Sawale,4240,72,0.4%,Aam Aadmi Party
10,Tarkase Pushpa Murlidhar,4126,72,0.4%,Hindusthan Nirman Dal
11,Navnath Dashrath Uplekar,4092,72,0.4%,Independent
12,Rokde Milind Somnath,3725,72,0.3%,Bharipa Bahujan Mahasangh
13,Smt. Jadhav Ujvala Eknath,3466,72,0.3%,Independent
14,Padmsinh Vijaysinh Mundhe,3361,72,0.3%,Independent
15,Gaikwad Umaji Pandurang,2355,72,0.2%,Independent
16,Adv. Shailendra Rameshwar Yavalkar,2257,72,0.2%,Samajwadi Party
17,Patil Manohar Anandrao,2251,72,0.2%,Independent
18,Kshirsagar Shivaji Jagannath,1978,72,0.2%,Independent
19,Sushilkumar Vinayak Padule,1963,72,0.2%,Independent
20,Dr. Ramesh Subrav Bansode,1701,72,0.2%,Republican Party Of India
21,Altaf Husain Yenegure,1640,72,0.1%,Independent
22,Sayyad Mohamd Sayyad Ibrahim,1528,72,0.1%,Bahujan Mukti Party
23,Kshirsagar Vijay Maruti,1482,72,0.1%,Independent
24,Siddik Ibrahim Boudiwali,1429,72,0.1%,Independent
25,Shaikh Mubarak Mainoddin,1418,72,0.1%,Independent
26,Shinde Rajendra Bhairavnath,1313,72,0.1%,Maharashtra Parivartan Sena (T)
27,Bhosale Revan Vishwanath,1288,72,0.1%,Janata Dal (Secular)
