Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Subrata Bakshi,431715,2200,37.0%,All India Trinamool Congress
2,Tathagata Roy,295376,2200,25.3%,Bharatiya Janta Party
3,Nandini Mukherjee,278414,1800,23.8%,Communist Party Of India (MARXIST)
4,Mala Roy,113453,400,9.7%,Indian National Congress
5,Omprakash Prajapati,4564,200,0.4%,Bahujan Samaj Party
6,Ashoke Biswas,4335,200,0.4%,Independent
7,Zubair Rabbani,3994,200,0.3%,Socialist Unity Centre Of India (COMMUNIST)
8,K. P. Md. Sharif,3776,200,0.3%,Indian Union Muslim League
9,Shamali Das,3356,200,0.3%,Independent
10,Hitangshu Banerjee,2921,200,0.3%,Amra Bangalee
11,Badri Mondal,1844,200,0.2%,Independent
12,Md. Heshamuddin,1554,200,0.1%,Welfare Party Of India
13,Syed Md Wasim Raza,1195,200,0.1%,All India Minorities Front
14,Karan Singh,1103,200,0.1%,Indian Justice Party
15,Raveendran. T.P (RAVI PALOOR),875,200,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
