Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bhola Singh,604449,161,59.9%,Bharatiya Janta Party
2,Pradeep Kumar Jatav,182476,161,18.1%,Bahujan Samaj Party
3,Kamlesh,128737,120,12.7%,Samajwadi Party
4,Anju Urf Muskan,59116,80,5.9%,Rashtriya Lok Dal
5,Dr. Rahul Dipankar,9727,59,1.0%,Aam Aadmi Party
6,Harvir,5690,59,0.6%,Independent
7,Pyare Lal,4448,59,0.4%,Bahujan Mukti Party
8,Vijai Pal,4117,59,0.4%,Rashtriya Janpriya Party
9,Suresh,2580,59,0.3%,Jai Maha Bharath Party
10,Raghuraj Pratap Singh,1455,59,0.1%,Rashtriya Kranti Party
