Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sidhant Mohapatra,398107,1521,44.0%,Biju Janata Dal
2,Chandra Sekhar Sahu,270387,1521,29.9%,Indian National Congress
3,Rama Chandra Panda,158811,375,17.5%,Bharatiya Janta Party
4,Ali Kishor Patnaik,35968,119,4.0%,Communist Party Of India (MARXIST)
5,Dhanada Kanta Mishra,8248,88,0.9%,Aam Aadmi Party
6,Srihari Patanaik,4081,88,0.5%,Independent
7,Aswini Kumar Padhy,3865,88,0.4%,Bahujan Samaj Party
8,A. Raghunath Varma,3719,88,0.4%,Independent
9,K. Shyambabu Subudhi,3383,88,0.4%,Independent
10,Manoj Choudhury,3314,88,0.4%,All India Trinamool Congress
11,Bidhan Chandra Panda,2773,88,0.3%,Samata Kranti Dal
