Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Choudhary Mahboob Ali Kaiser,313806,3956,35.0%,Lok Jan Shakti Party
2,Krishna Kumari Yadav,237803,3956,26.5%,Rashtriya Janata Dal
3,Dinesh Chandra Yadav,220316,2533,24.6%,Janata Dal (United)
4,Jagdish Chandra Vasu,24490,159,2.7%,Communist Party Of India (MARXIST)
5,Umesh Chandra Bharti,14926,139,1.7%,Independent
6,Dr. Swami Vivekanand,14491,139,1.6%,Aam Aadmi Party
7,Satish Prasad Singh,13888,139,1.5%,Independent
8,Makkhan Sah,6651,117,0.7%,Samajwadi Janata Party (RASHTRIYA)
9,Rajesh Kumar,6480,117,0.7%,Bahujan Samaj Party
10,Rajeev Ranjan,5722,117,0.6%,Lok Dal
11,Brahamdeo Mukhia,5215,117,0.6%,Rashtriya Naujawan Dal
12,Ganesh Mukhiya Nishad,4522,117,0.5%,Sarvajan Kalyan Loktantrik Party
13,Tej Bahadur Singh,4053,117,0.5%,Proutist Sarva Samaj
