Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ramesh Bais,654922,2000,52.4%,Bharatiya Janta Party
2,Satya Narayan Sharma (SATTU BHAIYA),483276,2000,38.6%,Indian National Congress
3,Sandeep Tiwari,15139,200,1.2%,Aam Aadmi Party
4,Guruji Virendra Kumar Dahariya,13147,200,1.1%,Bahujan Samaj Party
5,Om Prakash Dande,12699,200,1.0%,Independent
6,Shameem Khan,6750,200,0.5%,Independent
7,Abdul Safiq Khan,6250,200,0.5%,Independent
8,Ajay Verma,4963,200,0.4%,Chhattisgarh Swabhiman Manch
9,Kamaluddin,4316,200,0.3%,Independent
10,Umesh Kumar Verma,3527,200,0.3%,Independent
11,Rijhendra Dahariya,3398,200,0.3%,Independent
12,Shankar Lal Varandani,2726,200,0.2%,Independent
13,Anil Kumar Umre,2700,200,0.2%,Ambedkarite Party Of India
14,Ramgopal Verma,2619,200,0.2%,All India Trinamool Congress
15,Kranti Chandrakar,2521,200,0.2%,Independent
16,Naarad Prasad Nishad,2215,200,0.2%,Independent
17,Lalit Kumar Patel,2184,200,0.2%,Independent
18,Satanami Santosh Dahariya,1657,200,0.1%,Independent
19,Ramkrishna Verma,1596,200,0.1%,Independent
20,Mahesh Harpal,1562,200,0.1%,Shakti Sena (Bharat Desh)
21,Krishnanandan Singh,1527,200,0.1%,Independent
22,Naveen Gupta,1507,200,0.1%,Samajwadi Party
23,Meera Sharma,1405,200,0.1%,Independent
24,Bisahat Kurre,1365,200,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
25,Naresh Tandi,1329,200,0.1%,Independent
26,Madan Lal Sahu,1143,200,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
27,Yasmin Beg,1086,200,0.1%,Independent
28,Omprakash Meshram,1026,200,0.1%,Republican Paksha (Khoripa)
29,Tarzan Jangde,962,200,0.1%,Independent
30,Imrran Pasha,937,200,0.1%,Aazadi Ka Antim Aandolan Dal
31,Moinudin Tanvar(MONU),922,200,0.1%,Independent
32,Basmati Kshatriya,817,200,0.1%,Independent
33,Teekam Kumar Tondare,741,200,0.1%,Independent
34,Pravin Jain,729,200,0.1%,Independent
35,Saiyyad Javed Ali,724,200,0.1%,Independent
36,Horilal Yadav,662,200,0.1%,Independent
