Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Anshul Verma,360501,4376,37.1%,Bharatiya Janta Party
2,Shive Prasad Verma,279158,4376,28.7%,Bahujan Samaj Party
3,Usha Verma,276543,4089,28.4%,Samajwadi Party
4,Sarvesh Kumar,23298,142,2.4%,Indian National Congress
5,Shivekumar,4737,113,0.5%,Independent
6,Sarvesh,4130,113,0.4%,Independent
7,Sunil Bharti,4045,113,0.4%,Independent
8,Saroj Kumar,3287,113,0.3%,Independent
9,Chandrapal,2003,113,0.2%,Bharatiya Republican Paksha
10,Hira Lal Verma,1670,113,0.2%,Aam Aadmi Party
11,Ramdayal,1576,113,0.2%,Peace Party
12,Rampal,1326,113,0.1%,Independent
13,Santram,1296,113,0.1%,Bahujan Mukti Party
14,Ramlakhan Gautam,834,113,0.1%,Indian Savarn Samaj Party
15,Sanjay Kumar,830,113,0.1%,Bhartiya Krishak Dal
