Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vijay Kumar Singh,758482,200,56.5%,Bharatiya Janta Party
2,Raj Babbar,191222,200,14.2%,Indian National Congress
3,Mukul,173085,200,12.9%,Bahujan Samaj Party
4,Sudhan Kumar,106984,200,8.0%,Samajwadi Party
5,Shazia Ilmi Malik,89147,200,6.6%,Aam Aadmi Party
6,Sanjeev Kumar,4639,200,0.3%,Independent
7,Sabir,3409,200,0.3%,Independent
8,Suresh Pal,1591,200,0.1%,Bharatiya Sarvodaya Kranti Party
9,Naresh Gautam,1548,200,0.1%,Bahujan Mukti Party
10,Saleem Malik,1486,200,0.1%,Independent
11,Rinku Kumar Tyagi,1185,200,0.1%,Independent
12,Ramphal Shakya,1094,200,0.1%,Independent
13,Vinod Kumar Tyagi,992,200,0.1%,Independent
14,Keshav Choudhary,627,200,0.0%,Independent
15,Nitin,624,200,0.0%,Independent
