Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Santosh Kumar,418826,2378,41.2%,Janata Dal (United)
2,Uday Singh Alias Pappu Singh,302157,2378,29.7%,Bharatiya Janta Party
3,Amarnath Tiwari,124344,293,12.2%,Indian National Congress
4,Md Shamsher Alam,50446,154,5.0%,Jharkhand Mukti Morcha
5,Navlesh Pathak,18776,118,1.8%,Independent
6,Sudeep Roy,16630,109,1.6%,Aam Aadmi Party
7,Raj Kumar Oraon,11196,109,1.1%,Bahujan Samaj Party
8,Sanjay Singh,9196,99,0.9%,Independent
9,Anil Kumar Mahto,9162,99,0.9%,Janvadi Party(Socialist)
10,Kunj Bihari Paswan,8321,99,0.8%,Independent
11,Pankaj Kumar Singh,7912,99,0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
12,Syed Shah Eqbal Alam,6324,99,0.6%,Bhartiya Ekta Manch Party
13,Md Akhtar Ali,5849,99,0.6%,Independent
14,Md Shahid Akhtar,5137,99,0.5%,Bahujan Mukti Party
15,Pramod Narayan Poddar,4664,99,0.5%,Bharatiya Jantantrik Janta Dal
16,Fagu Marandi,3440,99,0.3%,Jharkhand Disom Party
17,Mansur Alam,3370,99,0.3%,Samajwadi Party
