Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ram Charitra Nishad,438210,1200,43.9%,Bharatiya Janta Party
2,Bholanath Alias B.P. Saroj,266055,1200,26.7%,Bahujan Samaj Party
3,Tufani,191387,600,19.2%,Samajwadi Party
4,Tufani Nishad,36275,200,3.6%,Indian National Congress
5,Subas Chandra,18777,200,1.9%,Communist Party Of India
6,Raj Alias Virendra Kumar Sonkar,9223,200,0.9%,Aam Aadmi Party
7,Shravan Kumar Paswan,7833,200,0.8%,Independent
8,Harinath,5279,200,0.5%,Independent
9,Rajesh Sonkar,4362,200,0.4%,Independent
10,Omprakash Alias Ambedkar,2708,200,0.3%,Independent
11,Hari,2669,200,0.3%,Suheldev Bhartiya Samaj Party
12,Sikandar,2114,200,0.2%,Bahujan Mukti Party
13,Rajesh,1552,200,0.2%,Janata Dal (United)
14,Lalji,1543,200,0.2%,Bhartiya Shakti Chetna Party
15,Suresh Gautam,1467,200,0.1%,Adarsh Rashtriya Vikas Party
