Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Radhakrishnan T,406694,1474,40.2%,All India Anna Dravida Munnetra Kazhagam
2,Vaiko,261143,1474,25.8%,Marumalarchi Dravida Munnetra Kazhagam
3,Rethinavelu S,241505,1108,23.9%,Dravida Munetra Kazhagam
4,Manickam Tagore B,38482,148,3.8%,Indian National Congress
5,Samuelraj K,20157,123,2.0%,Communist Party Of India (MARXIST)
6,Soundrapandiyan K,3470,104,0.3%,Independent
7,Santhana Krishnan G,3411,104,0.3%,Tamil Nadu Makkal Congress
8,Solairaj K,2721,104,0.3%,Independent
9,Dhanushkodi M,2522,104,0.2%,Independent
10,Palpandi S Dr,2342,104,0.2%,Independent
11,Karthikaisamy P,2249,104,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
12,Kamalavelselvan,1685,104,0.2%,Bahujan Samaj Party
13,Mohanraj J,1517,104,0.2%,Jebamani Janata
14,Lakshmi Kandhan S,1155,104,0.1%,Independent
15,Kannan G,1133,104,0.1%,Independent
16,Radhakrishnan Pv,1068,104,0.1%,Independent
17,Mahalingam T,1017,104,0.1%,Desiya Forward Bloc
18,Pandiarajan R,922,104,0.1%,Independent
19,Sathesh M,903,104,0.1%,Independent
20,Manmathan M,714,104,0.1%,Independent
21,Suresh Gandhi C,711,104,0.1%,Independent
22,Palanichamy Mallar P,700,104,0.1%,Independent
23,Pradeepkumar D,681,104,0.1%,Lok Satta Party
24,Madhavan P,642,104,0.1%,Independent
25,Marimuthu C,629,104,0.1%,Independent
26,Sankar A,532,104,0.1%,Independent
