Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Varaprasad Rao Velagapalli,580376,37200,47.8%,Yuvajana Sramika Rythu Congress Party
2,Karumanchi Jayaram,542951,37200,44.8%,Bharatiya Janta Party
3,Chinta Mohan,33333,200,2.7%,Indian National Congress
4,Kothapalli Subramanyam,11168,200,0.9%,Communist Party Of India (MARXIST)
5,M Solmon,9816,200,0.8%,Andhra Rastra Praja Samithi
6,Neerugutta Nageswara,7280,200,0.6%,Aam Aadmi Party
7,Dr. U Ramachandra M.B.B.S,6036,200,0.5%,Bahujan Samaj Party
8,Degala Surya Narayana,2876,200,0.2%,Pyramid Party Of India
9,Kalavapalli Sahadevaiah,2510,200,0.2%,Independent
10,Nune Vengaiah,1829,200,0.2%,Independent
11,K.S. Munirathnam,1696,200,0.1%,Independent
12,Songa Ratnamma,1645,200,0.1%,Independent
13,Kattamanchi Prabhakar,1455,200,0.1%,Independent
14,Thydula Subbaramaiah,1403,200,0.1%,Independent
