Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ananth Kumar,633816,800,56.9%,Bharatiya Janta Party
2,Nandan Nilekani,405241,800,36.4%,Indian National Congress
3,Ruth Manorama,25677,200,2.3%,Janata Dal (Secular)
4,Nina P Nayak,21403,200,1.9%,Aam Aadmi Party
5,Pramod Mutalik,4247,200,0.4%,Independent
6,Khan Abdul R,2747,200,0.2%,Bahujan Samaj Party
7,Prabhu,2325,200,0.2%,Independent
8,Yogesh,2061,200,0.2%,Independent
9,T.K. Dasar,929,200,0.1%,Independent
10,M. Umadevi,918,200,0.1%,Socialist Unity Centre Of India (COMMUNIST)
11,Ravikumara T,781,200,0.1%,Samajwadi Party
12,G. Venkatesh Bhovi,736,200,0.1%,Independent
13,Govindaiah B.R.,672,200,0.1%,Independent
14,T. E. Moses,604,200,0.1%,Independent
15,G.R. Shivashankar,586,200,0.1%,All India Forward Bloc
16,Shambulingegowda (GANDIVADI),581,200,0.1%,Independent
17,Dr. Pradeep Gadugesh,549,200,0.0%,Independent
18,Dr. Kodur Venkatesh,502,200,0.0%,Independent
19,Gayathri,484,200,0.0%,Pyramid Party Of India
20,Mahadeva Swamy. B. M,428,200,0.0%,Bharatiya Dr. B.R.Ambedkar Janta Party
21,N. Hanumegowda,414,200,0.0%,Independent
22,Syed Mehaboob,365,200,0.0%,Janata Dal (United)
23,Syed Rafiq Ahmed,246,200,0.0%,Independent
