Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Jugal Kishore,619995,754,49.5%,Bharatiya Janta Party
2,Madan Lal Sharma,362715,754,28.9%,Indian National Congress
3,Yashpal Sharma,168554,210,13.4%,Jammu & Kashmir Peoples Democratic Party
4,Ashok Kumar,31199,95,2.5%,Bahujan Samaj Party
5,Hari Chand Jalmeria,9071,79,0.7%,J & K National Panthers Party
6,Mohd. Imtiaz,7423,79,0.6%,Independent
7,Perseen Singh,7173,79,0.6%,Independent
8,Gursagar Singh,6042,79,0.5%,Socialistic Democratic Party
9,Nirmal Singh,5286,79,0.4%,Independent
10,Vijay Kumar,5125,79,0.4%,Independent
11,Labha Ram,5046,79,0.4%,Independent
12,Abdul Majid Chouhan,4177,79,0.3%,Independent
13,Bahadur Singh Chowdhary,3164,79,0.3%,Samajwadi Party
14,Raj Kumar,2991,79,0.2%,Independent
15,Ashok Kumar Sharma,2582,79,0.2%,Independent
16,Mohd. Abbas Khan,2469,79,0.2%,Independent
17,Subash Chander,2205,79,0.2%,All J & K Kisan Majdoor Party
18,Mehar Manav Bhagat,2013,79,0.2%,Bharatiya Bahujan Party
19,Satish Poonchi,1981,79,0.2%,Independent
