Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,522531,200,53.5%,Nationalist Congress Party
2,Purushottam Jadhav,155937,200,16.0%,Independent
3,Rajendra Madhukar Chorage,82489,200,8.4%,Aam Aadmi Party
4,Ashok Waman Gaikwad,71808,200,7.4%,Republican Party Of India (A)
5,Sandip Amrutrao Mozar,18215,200,1.9%,Independent
6,Subhash Nivrutti Shilewant,15073,200,1.5%,Independent
7,Prashant Vasant Chavan,14523,200,1.5%,Bahujan Samaj Party
8,Altaf Abdulgani Shikalgar,13760,200,1.4%,Bahujan Mukti Party
9,Chandrakant Tatu Khandait,12270,200,1.3%,Bharipa Bahujan Mahasangh
10,Suhas Vishwasrao Deshmukh,12122,200,1.2%,Independent
11,Pandurang Ramchandra Shinde,11304,200,1.2%,Independent
12,Kadam Sagar Uttamrao,10047,200,1.0%,Independent
13,Adv. Varsha Madgulkar,9405,200,1.0%,Independent
14,Umesh Mukund Waghmare,4711,200,0.5%,Independent
15,Dr. Vijaysinha Diliprao Patil,3654,200,0.4%,Independent
16,Bichukale Abhijit Vamanrao,3644,200,0.4%,Independent
17,Gawde Sukhdev Bhanudas,2435,200,0.2%,Independent
18,Dr. Prakash Shamrao Pawar,2164,200,0.2%,Independent
