Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Raj Nath Singh,561106,600,54.3%,Bharatiya Janta Party
2,Prof. Rita Bahuguna Joshi,288357,600,27.9%,Indian National Congress
3,Nakul Dubey,64449,200,6.2%,Bahujan Samaj Party
4,Abhishek Misra,56771,200,5.5%,Samajwadi Party
5,Syed Javed Ahmed Jafri,41429,200,4.0%,Aam Aadmi Party
6,Suman Verma,1901,200,0.2%,Bhartiya Shakti Chetna Party
7,Mohd. Sarwar Malik,1486,200,0.1%,All India Trinamool Congress
8,Sanjeev Mehrotra Alias Pikku Bhai,1174,200,0.1%,Bahujan Kranti Party (Marxwad-Ambedkarwad)
9,Syed Ali Husain,1100,200,0.1%,Independent
10,Asok Pande,930,200,0.1%,Independent
11,Shishu Pal Yadav,851,200,0.1%,Rashtriya Viklang Party
12,Sunil Singh,849,200,0.1%,Lok Dal
13,Tara Patkar,743,200,0.1%,Swarajya Party Of India
14,Subhash Chandra Lehri,719,200,0.1%,Independent
15,Hari Ram Alias Haribhai Patel,694,200,0.1%,Samyak Parivartan Party
16,Padam Chandra Gupta,661,200,0.1%,Independent
17,Shailendra Singh Yadav,607,200,0.1%,Independent
18,Vijay Bahadur Singh,575,200,0.1%,Manavtawadi Samaj Party
19,Manoj Singh,572,200,0.1%,Independent
20,Radha Krishnan,542,200,0.1%,Uttar Pradesh Republican Party
21,Raj Kumar Singh,523,200,0.1%,National Youth Party
22,Ramphal Rawat,502,200,0.0%,Bharatiya Nav Kranti Party
23,Nand Kumar Lodhi Rajpoot,445,200,0.0%,Rashtriya Krantikari Samajwadi Party
24,Vinay Prakash Mishra,441,200,0.0%,Independent
25,Rajeev Ranjan Tiwari Alias Raj Behari,391,200,0.0%,Independent
26,Adarsh Shastri,389,200,0.0%,Independent
27,Rabi Dubey,361,200,0.0%,Nagrik Ekta Party
28,Yogesh Chandra Bhatt,337,200,0.0%,Independent
29,Ghanshyam Singh,282,200,0.0%,Independent
