Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vijay Kumar Hansdak,379507,17000,39.9%,Jharkhand Mukti Morcha
2,Hemlal Murmu,338170,17000,35.5%,Bharatiya Janta Party
3,Dr. Anil Murmu,97374,400,10.2%,Jharkhand Vikas Morcha (Prajatantrik)
4,Jyotin Soren,58034,200,6.1%,Communist Party Of India (MARXIST)
5,Krishna Singh,16354,200,1.7%,Indian Union Muslim League
6,Barnard Hembrom,8686,200,0.9%,Rashtriya Krantikari Samajwadi Party
7,Dr. Surae Soren,7906,200,0.8%,Independent
8,Tala Hansda,7661,200,0.8%,Independent
9,Arjun Prasad Singh,6761,200,0.7%,Ajsu Party
10,Suniram Hembrom,6460,200,0.7%,Independent
11,Arun Marandi,4775,200,0.5%,Bahujan Samaj Party
