Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Bharatiben Dhirubhai Shiyal,549529,400,59.9%,Bharatiya Janta Party
2,Rathod Pravinbhai Jinabhai,254041,400,27.7%,Indian National Congress
3,Dr. Kanubhai V. Kalsaria,49540,200,5.4%,Aam Aadmi Party
4,Gita Chetan Paunda (ADVOCATE GITABA JADEJA),9345,200,1.0%,Bahujan Samaj Party
5,Vaghela Narendrabhai Shavjibhai,9113,200,1.0%,Independent
6,Vegad Nathabhai (VEGADBHAI PRAGNACHAKSHU CANDIDATE),7550,200,0.8%,Independent
7,Bhaves Ghanshyambhai Rajyaguru,5912,200,0.6%,Independent
8,Rathod Pravinsinh Chandrasinh,5530,200,0.6%,Independent
9,Kagada Rameshbhai Punabhai,3542,200,0.4%,Independent
10,Rasidkhan Hasankhan Pathan,2707,200,0.3%,Independent
11,Gohil Pravinsinh Dhirubha,2276,200,0.2%,Independent
12,Maru Manhar Valajibhai,2257,200,0.2%,Independent
13,Mehta Yashvantray Odhavjibhai,1852,200,0.2%,Independent
14,Gohel Bharatbhai Bhimabhai,1734,200,0.2%,Independent
15,Jagadishbhai Amarabhai Vegad,1525,200,0.2%,Independent
16,Khadrani Asimbhai Pirbhai,1359,200,0.1%,Independent
