Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kalvakuntla Chandrasekhar Rao,657492,264,55.2%,Telangana Rashtra Samithi
2,Dr.P. Shravan Kumar Reddy,260463,264,21.9%,Indian National Congress
3,Chaganla Narendra Nath,181804,173,15.3%,Bharatiya Janta Party
4,Kundeti. Ravi.,33507,81,2.8%,Independent
5,Prabhugoud Pullaiahgari,11752,67,1.0%,Yuvajana Sramika Rythu Congress Party
6,Kompelli Prabhudas,7599,67,0.6%,Republican Party Of India (A)
7,Y. Shankar Goud,6643,67,0.6%,Bahujan Samaj Party
8,Iqbal Ali Zafar,5010,67,0.4%,Majlis Bachao Tahreek
9,Meka. Subba Rao,4441,67,0.4%,Independent
10,Bomma Balesham,3297,67,0.3%,Pyramid Party Of India
11,Gajabinkar Bansilal,3281,67,0.3%,Independent
12,Balaraju Mittapally,2973,67,0.2%,Independent
13,Gurjada Bheeraiah Yadav,2053,67,0.2%,Independent
