Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Radheshyam Biswas,362866,2345,40.9%,All India United Democratic Front
2,Krishna Das,260772,2345,29.4%,Bharatiya Janta Party
3,Lalit Mohon Suklabaidya,226562,1258,25.5%,Indian National Congress
4,Rabindra Nath Choudhury,5556,100,0.6%,Asom Gana Parisad
5,Tarun Kumar Das,3658,100,0.4%,Aam Aadmi Party
6,Sujit Mallick,3437,100,0.4%,Independent
7,Probash Ch. Sarkar,3114,100,0.4%,Socialist Unity Centre Of India (COMMUNIST)
8,Sajalendu Malakar,2465,100,0.3%,Independent
9,Goutam Malakar,2447,100,0.3%,Independent
10,Pradip Suklabaidya,2392,100,0.3%,Independent
11,Rinku Malakar,2275,100,0.3%,Samajwadi Party
12,Sabuj Das,1974,100,0.2%,Independent
13,Sanjit Kumar Das,1880,100,0.2%,Independent
14,Pintu Malakar,1664,100,0.2%,Independent
15,Mahananda Das,1592,100,0.2%,Independent
