Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sukhbir Singh Jaunapuria,548179,2058,52.6%,Bharatiya Janta Party
2,Mohammed Azharuddin,412868,2058,39.6%,Indian National Congress
3,Jagmohan Meena,14600,82,1.4%,National People's Party
4,Makkhan,10515,74,1.0%,Independent
5,Suresh,10392,74,1.0%,Bahujan Samaj Party
6,Babulal Jangid,7195,74,0.7%,Independent
7,Chandan Lal Meena,6522,74,0.6%,Independent
8,Ram Parkash,6177,74,0.6%,Independent
9,Govind Prasad,3125,74,0.3%,Independent
10,Mukesh,2665,74,0.3%,Aam Aadmi Party
11,Varis Ali,2361,74,0.2%,Awami Aamjan Party
12,Dinesh Saini,2205,74,0.2%,Jai Maha Bharath Party
13,Dinesh,2147,74,0.2%,All India Trinamool Congress
14,Kori Lal,1924,74,0.2%,Independent
15,Kamal Kumar Dhobi,1723,74,0.2%,Independent
16,Sampatti Bai Alias Sunita Verma,1611,74,0.2%,Independent
17,Siya Ram,1104,74,0.1%,Independent
18,Hari Ram,1045,74,0.1%,Independent
19,Ram Hans,867,74,0.1%,Naya Daur Party
20,Ramesh Chand,751,74,0.1%,Lok Dal
21,Bhar Singh,701,74,0.1%,Socialist Party (India)
22,Bajarang Lal,699,74,0.1%,Rashtriya Ahinsa Manch
