Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Neelam Sonkar,324016,6200,36.1%,Bharatiya Janta Party
2,Bechai Saroj,260930,6200,29.0%,Samajwadi Party
3,Dr. Baliram,233971,3000,26.0%,Bahujan Samaj Party
4,Balihari Babu,21832,200,2.4%,Indian National Congress
5,Pradeep Kumar,14368,200,1.6%,Rashtriya Ulama Council
6,Hariprasad Sonkar,10523,200,1.2%,Communist Party Of India
7,Jiya Lal,5668,200,0.6%,Aam Aadmi Party
8,Shripati,4620,200,0.5%,Quami Ekta Dal
9,Achchhelal,4536,200,0.5%,Independent
10,Jangbahadur,3307,200,0.4%,Independent
11,Avadhesh,2129,200,0.2%,Independent
12,Lal Bahadur,1911,200,0.2%,Bahujan Mukti Party
13,Dinesh Kumar,1733,200,0.2%,Asankhya Samaj Party
14,Sukhanayan,1398,200,0.2%,Jan Shakti Ekta Party
