Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Mulayam Singh Yadav,340306,7200,35.4%,Samajwadi Party
2,Ramakant Yadav,277102,7200,28.9%,Bharatiya Janta Party
3,Shah Alam Alias Guddu Jamali,266528,5200,27.8%,Bahujan Samaj Party
4,Arvind Kumar Jaiswal,17950,200,1.9%,Indian National Congress
5,M. Amir Rashadi,13271,200,1.4%,Rashtriya Ulama Council
6,Madan,5207,200,0.5%,All India Trinamool Congress
7,Shamshad Ahmad,4875,200,0.5%,Independent
8,Sanjay Kumar Chaturvedi,4051,200,0.4%,Indian Savarn Samaj Party
9,Santosh Kumar Gautam,3866,200,0.4%,Manavtawadi Samaj Party
10,Pramod Singh,3752,200,0.4%,Independent
11,Sanjay Chauhan,3517,200,0.4%,Independent
12,Rajesh Yadav,3082,200,0.3%,Aam Aadmi Party
13,Ram Singh Chauhan,2507,200,0.3%,Independent
14,Prakash Chandra,2103,200,0.2%,Sanatan Sanskriti Raksha Dal
15,Sugriv Chauhan,1882,200,0.2%,Independent
16,Rajdhari Rajbhar,1695,200,0.2%,Moolniwasi Samaj Party
17,Durg Vijay Yadav,1566,200,0.2%,Bahujan Mukti Party
18,Kiran Sharama,1298,200,0.1%,Bhartiya Shakti Chetna Party
