Position,Candidate Name,Votes,MinSample,Votes %,Party
1,M B Rajesh,412897,2411,45.4%,Communist Party Of India (MARXIST)
2,M P Veerendrakumar,307597,2411,33.8%,Socialist Janta (DEMOCRATIC)
3,Sobhasurendran,136541,281,15.0%,Bharatiya Janta Party
4,E S Khaja Hussain,12504,96,1.4%,Social Democratic Party Of India
5,Thennilapuram Radhakrishnan,8667,88,1.0%,Welfare Party Of India
6,B Padmanabhan,4933,85,0.5%,Aam Aadmi Party
7,Veerendrakumar O P,3946,85,0.4%,Independent
8,Rajesh S,2654,85,0.3%,Shiv Sena
9,Hari Arumbil,2009,85,0.2%,Bahujan Samaj Party
10,V S Shanavas,1946,85,0.2%,Independent
11,Sreejith,1416,85,0.2%,Independent
12,Abhimod,1231,85,0.1%,Independent
13,C.K. Ramakrishnan,1092,85,0.1%,Independent
14,Aboobakker Sidhikh,828,85,0.1%,All India Trinamool Congress
15,Pradeep,770,85,0.1%,Independent
