Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kanwar Singh Tanwar,528880,1560,48.3%,Bharatiya Janta Party
2,Humera Akhtar,370666,1560,33.8%,Samajwadi Party
3,Farhat Hasan,162983,239,14.9%,Bahujan Samaj Party
4,Rakesh Tikait,9539,81,0.9%,Rashtriya Lok Dal
5,Syed Kalbe Rushaid Rizvi,2601,81,0.2%,Aam Aadmi Party
6,Naresh Kumar,2493,81,0.2%,Independent
7,Khajan Singh,2448,81,0.2%,Rashtriya Congress (Babu Jagjivanram)
8,Surendra Singh,2425,81,0.2%,Independent
9,Naresh Chand,1431,81,0.1%,Independent
10,Sarvesh Kumar Saini,980,81,0.1%,Shiv Sena
11,Husnein Razaa,858,81,0.1%,New All India Congress Party
12,Brajlal,837,81,0.1%,Bahujan Mukti Party
13,Rakesh,749,81,0.1%,Peace Party
14,Mahesh,713,81,0.1%,Republican Party Of India (A)
15,Rajpal,478,81,0.0%,Adarsh Rashtriya Vikas Party
