Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kristappa Nimmala,604291,5000,51.3%,Telugu Desam
2,Duddukunta Sreedhar Reddy,506966,5000,43.1%,Yuvajana Sramika Rythu Congress Party
3,G.C Venkataramudu,36452,200,3.1%,Indian National Congress
4,K.Mohammad Shameer Basha,4590,200,0.4%,Jai Samaikyandhra Party
5,Amudala Subramanyam,4521,200,0.4%,Rayalaseema Parirakshana Samithi
6,Anand,3101,200,0.3%,Pyramid Party Of India
7,Maddipatla Sudhakar Naidu,2332,200,0.2%,Independent
8,D. Somanath,2032,200,0.2%,Independent
9,Chinta Sarath Kumar Reddy,1275,200,0.1%,Independent
10,Appireddygari Konda Reddy,1257,200,0.1%,Independent
11,K.Pedda Reddi,1152,200,0.1%,Independent
12,Asadullah K.M,1099,200,0.1%,Independent
