Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Adv. Narendra Keshav Sawaikar,198776,5400,48.4%,Bharatiya Janta Party
2,Aleixo Reginaldo Lourenco,166446,5400,40.6%,Indian National Congress
3,Churchill Alemao,11941,200,2.9%,All India Trinamool Congress
4,Swati S. Kerkar,11246,200,2.7%,Aam Aadmi Party
5,Govind Shepu Gaude,7152,200,1.7%,Independent
6,Adv. Raju Mangeshkar,4437,200,1.1%,Communist Party Of India
7,Shalom Mathew Francisco Sardinha,2586,200,0.6%,Independent
8,Venus Habib,790,200,0.2%,Independent
9,Savio Oliver Rodrigues,783,200,0.2%,Goa Su-Raj Party
10,Balkrishna Salgaonkar,683,200,0.2%,Independent
11,Cliffton De Souza,666,200,0.2%,Bahujan Mukti Party
12,Adv.Jawahar Leonardo Dias,530,200,0.1%,Goemcarancho Otrec Astro
