Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Tasleem Uddin,407978,1400,41.8%,Rashtriya Janata Dal
2,Pradeep Kumar Singh,261474,1400,26.8%,Bharatiya Janta Party
3,Vijay Kumar Mandal,221769,800,22.7%,Janata Dal (United)
4,Abdul Rahman,17724,200,1.8%,Bahujan Samaj Party
5,Pankaj Kishor Mandal,10704,200,1.1%,Independent
6,Sar Wat Jahre Ansari,6376,200,0.7%,Samajwadi Janata Party (RASHTRIYA)
7,Chandra Bhushan,5685,200,0.6%,Aam Aadmi Party
8,Alamdar Hussain,5645,200,0.6%,Independent
9,Sanjay Kumar Rishidev,5292,200,0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
10,Md. Aslam Beg,5149,200,0.5%,Janta Dal Rashtravadi
11,Rajesh Kumar,4646,200,0.5%,Bharat Vikas Morcha
12,Ramanand Rishideo,3411,200,0.3%,Lok Dal
13,Bidayanand Paswan,3350,200,0.3%,Bahujan Mukti Party
