Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kamla Patle,518909,1186,48.3%,Bharatiya Janta Party
2,Prem Chand Jayasi,343948,1186,32.0%,Indian National Congress
3,Duj Ram Bouddh,125617,188,11.7%,Bahujan Samaj Party
4,Dadoo Ram Manhar,16862,88,1.6%,Aam Aadmi Party
5,Vrinda Chauhan,8982,80,0.8%,Independent
6,Lakhan Lal Lahre,7535,80,0.7%,Independent
7,Satyendra Bhandari,6275,80,0.6%,Ambedkarite Party Of India
8,Premshankar Mahilange,5309,80,0.5%,Independent
9,Deepak Narang,3977,80,0.4%,Independent
10,Chaitram Suryavanshi Adhiwakta,3208,80,0.3%,Independent
11,Jeevan Lal Bharati,2962,80,0.3%,Independent
12,Jagdish Prasad Nirala,2890,80,0.3%,Independent
13,Lakhan Lal Chauhan,2859,80,0.3%,Bahujan Mukti Party
14,Nohar Singh Sonwani,2852,80,0.3%,Samajwadi Party
15,Kaushal Prasad Navarang,2724,80,0.3%,Independent
