Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Md. Salim,317515,1026649,28.7%,Communist Party Of India (MARXIST)
2,Deepa Dasmunsi,315881,1026649,28.5%,Indian National Congress
3,Nimu Bhowmick,203131,2271,18.3%,Bharatiya Janta Party
4,Pabitra Ranjan Dasmunshi (SATYA),192698,1870,17.4%,All India Trinamool Congress
5,Sudiip Ranjan Sen,32303,222,2.9%,Samajwadi Party
6,Dulal Rajbanshi,8592,166,0.8%,Socialist Unity Centre Of India (COMMUNIST)
7,Swapan Kumar Das,5629,149,0.5%,Bahujan Samaj Party
8,Subrata Adhikary,5548,149,0.5%,Independent
9,Bablu Soren,5544,149,0.5%,Jharkhand Disom Party
10,Pasarul Alam,3614,149,0.3%,Aam Aadmi Party
11,Zameerul Hasan,3471,149,0.3%,All India United Democratic Front
12,Nandakishor Singha,3338,149,0.3%,Amra Bangalee
