Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Veena Devi,352911,2200,38.6%,Lok Jan Shakti Party
2,Rajiv Ranjan Singh Alias Lalan Singh,243827,2200,26.7%,Janata Dal (United)
3,Pragati Mehta,182971,800,20.0%,Rashtriya Janata Dal
4,Ashok Kumar Singh,50469,200,5.5%,Shiv Sena
5,Kamleshwari Mandal,11225,200,1.2%,Bahujan Samaj Party
6,Uchit Kumar,11122,200,1.2%,Independent
7,Muzaffar Fakhruddin,10264,200,1.1%,Independent
8,Sharwan Kumar Anand,8112,200,0.9%,Independent
9,Sandeep,7481,200,0.8%,Aam Aadmi Party
10,Ram Badan Rai,6769,200,0.7%,Samajwadi Party
11,Suryoday Paswan,5113,200,0.6%,Sankhyanupati Bhagidari Party
12,Pramod Kumar,4710,200,0.5%,Socialist Unity Centre Of India (COMMUNIST)
13,Shankar Prasad,3956,200,0.4%,Bahujan Mukti Party
