Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Poonamben Hematbhai Maadam,484412,800,56.8%,Bharatiya Janta Party
2,Ahir Vikrambhai Arjanbhai Madam,309123,800,36.3%,Indian National Congress
3,Mamad Haji Bolim,8596,200,1.0%,Independent
4,Sama Yusuf,8234,200,1.0%,Bahujan Samaj Party
5,Meman Rafik Abubakar Popatputra,5811,200,0.7%,Independent
6,Jhala Rajendrasinh,4911,200,0.6%,Aam Aadmi Party
7,Vagher Ali Ishak Palani,3946,200,0.5%,Independent
8,Bathwar Nanjibhai,3667,200,0.4%,Independent
9,Nariya Pravinbhai Vallabhbhai,1811,200,0.2%,Independent
10,Pandya Chiragbhai Hariombhai,1541,200,0.2%,Independent
11,Sandhi Mamadbhai Hajibhai Safia,1377,200,0.2%,Independent
12,Kasambhai,1254,200,0.1%,Rashtriya Komi Ekta Party
13,Vagher Javidbhai Osmanbhai Nole,1247,200,0.1%,Independent
14,Padhiyar Laljibhai Karabhai,1188,200,0.1%,Independent
15,Dharaviya Vallabhbhai,1043,200,0.1%,Independent
16,Saiyad Abubakar Ibrahim,940,200,0.1%,Samajwadi Party
17,Sodha Salimbhai Nurmamadbhai,885,200,0.1%,Independent
18,Chandravijaysinh Takhubha Rana,876,200,0.1%,Independent
19,Sachada Habib Ishabhai,819,200,0.1%,Independent
20,Vaniya Gangajibhai,795,200,0.1%,Independent
21,Dhanjibhai Laljibhai Ranevadia,777,200,0.1%,Independent
22,Sumara Amandbhai Noormamadbhai Sumara,760,200,0.1%,Independent
23,Dalit Ashok Nathabhai Chavda,744,200,0.1%,Independent
24,Dalit Jitesh Babubhai Rathore,706,200,0.1%,Independent
25,Suthar Hansaben Harsukhbhai Gorecha,592,200,0.1%,Independent
