Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ravindra Kumar Pandey,391913,19677,40.4%,Bharatiya Janta Party
2,Jagarnath Mahto,351600,19677,36.2%,Jharkhand Mukti Morcha
3,Saba Ahmad,57380,175,5.9%,Jharkhand Vikas Morcha (Prajatantrik)
4,Umesh Chandra Mehta,55531,170,5.7%,Ajsu Party
5,Jaleshwar Mahato,40010,151,4.1%,Janata Dal (United)
6,Sanjeev Kumar Mahato,13132,114,1.4%,Independent
7,Ashutosh Verma,11355,114,1.2%,All India Trinamool Congress
8,Gurjeet Singh,7071,101,0.7%,Aam Aadmi Party
9,Dilip Kr Rajak,6406,101,0.7%,Independent
10,Kartik Mahto,6341,101,0.7%,Bahujan Samaj Party
11,Sohrab Shah,5072,101,0.5%,Bahujan Mukti Party
12,Bideshi Mahto,4325,101,0.4%,Jharkhand Disom Party
13,Shiva Mahto,3660,101,0.4%,Independent
14,Sajjadur Rab Hasami,3512,101,0.4%,Independent
15,Sanjeev Kumar Sinha,2988,101,0.3%,All India Forward Bloc
16,Jeetendra Kumar,2825,101,0.3%,Samajwadi Party
17,Mrinal Kanti Dev,1997,101,0.2%,Socialist Party (LOHIA)
