Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sreemati Dev Varma (MOON MOON SEN),483455,5000,39.1%,All India Trinamool Congress
2,Acharia Basudeb,384949,5000,31.1%,Communist Party Of India (MARXIST)
3,Subhas Kumar Sarkar,251183,800,20.3%,Bharatiya Janta Party
4,Nilmadhab Gupta,22021,200,1.8%,Indian National Congress
5,Paresh Marandi,10229,200,0.8%,Jharkhand Mukti Morcha
6,Kabita Singhababu,9125,200,0.7%,Socialist Unity Centre Of India (COMMUNIST)
7,Shyamal Sikdar,9045,200,0.7%,Independent
8,Sudhir Kumar Murmu,7579,200,0.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Hulu Khetrapal,7564,200,0.6%,Bahujan Mukti Party
10,Binoy Chowdhury,7388,200,0.6%,Bahujan Samaj Party
11,Banerjee Prabir,6209,200,0.5%,Jharkhand Anushilan Party
12,Panmani Besra,5909,200,0.5%,Jharkhand Disom Party
13,Gour Chandra Hembram,4876,200,0.4%,Independent
14,Shib Sankar Ghosh,3105,200,0.3%,Jharkhand Vikas Morcha (Prajatantrik)
