Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ram Kripal Yadav,383262,19965,39.2%,Bharatiya Janta Party
2,Misha Bharti,342940,19965,35.0%,Rashtriya Janata Dal
3,Ranjan Prasad Yadav,97228,267,9.9%,Janata Dal (United)
4,Rameshwar Prasad,51623,178,5.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
5,Raj Kumar Ram,17188,128,1.8%,Bahujan Samaj Party
6,Durgesh Nandan Singh Alias Durgesh Nandan,16645,128,1.7%,Independent
7,Shatrudhan Saw,8184,107,0.8%,Bharatiya Ekta Dal
8,Niraj Kumar,8084,107,0.8%,Independent
9,Sunil Kumar,6269,107,0.6%,Samajwadi Janata Party (RASHTRIYA)
10,Abinash Kumar,5854,107,0.6%,Bharatiya Jan Kranti Dal (Democratic)
11,Kundan Prasad Singh,5637,107,0.6%,Aam Aadmi Party
12,Kumar Indra Bhushan,5412,107,0.6%,Independent
13,Jai Prakash Yadav,4804,107,0.5%,Independent
14,Sunil Kumar Singh,4555,107,0.5%,Independent
15,Nagendra Kumar,4302,107,0.4%,Bharat Vikas Morcha
16,Mukul Kumar Sharma,3015,107,0.3%,Sankhyanupati Bhagidari Party
17,Pancham Lal,2520,107,0.3%,Independent
18,Deo Kumar Verma,2484,107,0.3%,Republican Party Of India (A)
19,Chandra Dev Prasad,2268,107,0.2%,Bahujan Mukti Party
20,Minendra Kumar Singh,1697,107,0.2%,Independent
